Vietnam,Capacity (million kW),Nuclear (million kW),Fossil fuels (million kW),Renewables (million kW),Hydroelectricity (million kW),Non-hydroelectric renewables (million kW),Geothermal (million kW),"Solar, tide, wave, fuel cell (million kW)",Tide and wave (million kW), Solar (million kW),Wind (million kW),Biomass and waste (million kW),Hydroelectric pumped storage (million kW)
1980,1.17,0,0.89,0.28,0.28,0,0,0,0,0,0,0,0
1981,1.18,0,0.9,0.28,0.28,0,0,0,0,0,0,0,0
1982,1.19,0,0.91,0.28,0.28,0,0,0,0,0,0,0,0
1983,1.22,0,0.92,0.3,0.3,0,0,0,0,0,0,0,0
1984,1.45,0,1,0.45,0.45,0,0,0,0,0,0,0,0
1985,1.55,0,1.08,0.47,0.47,0,0,0,0,0,0,0,0
1986,1.65,0,1.16,0.49,0.49,0,0,0,0,0,0,0,0
1987,1.75,0,1.24,0.51,0.51,0,0,0,0,0,0,0,0
1988,1.85,0,1.32,0.53,0.53,0,0,0,0,0,0,0,0
1989,1.95,0,1.4,0.55,0.55,0,0,0,0,0,0,0,0
1990,2.155,0,1.48,0.675,0.675,0,0,0,0,0,0,0,0
1991,2.3,0,1.55,0.75,0.75,0,0,0,0,0,0,0,0
1992,2.935,0,1.55,1.385,1.385,0,0,0,0,0,0,0,0
1993,3.41,0,1.55,1.86,1.86,0,0,0,0,0,0,0,0
1994,4.05,0,1.55,2.5,2.5,0,0,0,0,0,0,0,0
1995,4.43,0,1.55,2.88,2.88,0,0,0,0,0,0,0,0
1996,4.648,0,1.756,2.892,2.892,0,0,0,0,0,0,0,0
1997,4.895,0,2.003,2.892,2.892,0,0,0,0,0,0,0,0
1998,5.703,0,2.811,2.892,2.892,0,0,0,0,0,0,0,0
1999,5.643,0,2.781,2.862,2.862,0,0,0,0,0,0,0,0
2000,6.38,0,2.957,3.423,3.292,0.131,0,0.001,0,0.001,0,0.13,0
2001,8.454,0,4.195,4.259,4.128,0.131,0,0.001,0,0.001,0,0.13,0
2002,8.7,0,4.414,4.286,4.155,0.131,0,0.001,0,0.001,0,0.13,0
2003,9.16,0,4.874,4.286,4.155,0.131,0,0.001,0,0.001,0,0.13,0
2004,11.732,0,7.445,4.287,4.155,0.132,0,0.002,0,0.002,0,0.13,0
2005,12.388,0,8.1,4.288,4.155,0.133,0,0.003,0,0.003,0,0.13,0
2006,12.964,0,8.25,4.714,4.58,0.134,0,0.004,0,0.004,0,0.13,0
2007,13.354,0,8.35,5.004,4.87,0.134,0,0.004,0,0.004,0,0.13,0
2008,15.02,0,9.015,6.005,5.87,0.135,0,0.004,0,0.004,0.001,0.13,0
2009,17.011,0,9.678,7.333,7.19,0.143,0,0.004,0,0.004,0.009,0.13,0
2010,18.453,0,9.678,8.775,8.61,0.165,0,0.004,0,0.004,0.031,0.13,0
2011,22.194,0,11.992,10.202,10.037,0.165,0,0.004,0,0.004,0.031,0.13,0
2012,27.082,0,13.417,13.665,13.5,0.165,0,0.004,0,0.004,0.031,0.13,0
2013,30.644255,0,15.539,15.105255,14.925,0.180255,0,0.005255,0,0.005255,0.05,0.125,0
2014,33.460028,0,18.268,15.192028,15,0.192028,0,0.006028,0,0.006028,0.05,0.136,0
2015,38.987028,0,22.779,16.208028,15.905,0.303028,0,0.006028,0,0.006028,0.136,0.161,0
2016,43.268028,0,25.783,17.485028,17.131,0.354028,0,0.006028,0,0.006028,0.16,0.188,0
2017,44.16723,0,25.953,18.21423,17.809,0.40523,0,0.00873,0,0.00873,0.205,0.1915,0
2018,45.51173,0,26.8,18.71173,17.989,0.72273,0,0.10573,0,0.10573,0.237,0.38,0
2019,49.53951811,0,24.90851811,24.631,18.069,6.562,0,5.695,0,5.695,0.487,0.38,0